,Accuracy,Precision,Recall,F1-Score,ROC-AUC
KNN,0.8819951338199513,0.8120805369127517,0.8551236749116607,0.8330464716006885,0.9239102643948681
DecisionTree,0.8467153284671532,0.7697594501718213,0.7915194346289752,0.7804878048780488,0.8336075837337825
RandomForest,0.9014598540145985,0.8740740740740741,0.833922261484099,0.8535262206148282,0.9448658358299953
XGBoost,0.8868613138686131,0.841726618705036,0.8268551236749117,0.8342245989304813,0.9456853091381108
